sample_id,filename,speed_kmph,speed_mps,distance_m,angle_deg
sample_0000001,RenaultScenic_30.wav,30.0,8.333333333333334,0.5,0.0
sample_0000002,RenaultScenic_35.wav,35.0,9.722222222222221,0.5,0.0
sample_0000003,RenaultScenic_36.wav,36.0,10.0,0.5,0.0
sample_0000004,RenaultScenic_38.wav,38.0,10.555555555555555,0.5,0.0
sample_0000005,RenaultScenic_40.wav,40.0,11.11111111111111,0.5,0.0
sample_0000006,RenaultScenic_42.wav,42.0,11.666666666666666,0.5,0.0
sample_0000007,RenaultScenic_44.wav,44.0,12.222222222222221,0.5,0.0
sample_0000008,RenaultScenic_46.wav,46.0,12.777777777777777,0.5,0.0
sample_0000009,RenaultScenic_48.wav,48.0,13.333333333333332,0.5,0.0
sample_0000010,RenaultScenic_50.wav,50.0,13.88888888888889,0.5,0.0
sample_0000011,RenaultScenic_52.wav,52.0,14.444444444444445,0.5,0.0
sample_0000012,RenaultScenic_54.wav,54.0,15.0,0.5,0.0
sample_0000013,RenaultScenic_57.wav,57.0,15.833333333333332,0.5,0.0
sample_0000014,RenaultScenic_60.wav,60.0,16.666666666666668,0.5,0.0
sample_0000015,RenaultScenic_62.wav,62.0,17.22222222222222,0.5,0.0
sample_0000016,RenaultScenic_64.wav,64.0,17.77777777777778,0.5,0.0
sample_0000017,RenaultScenic_66.wav,66.0,18.333333333333332,0.5,0.0
sample_0000018,RenaultScenic_68.wav,68.0,18.88888888888889,0.5,0.0
sample_0000019,RenaultScenic_70.wav,70.0,19.444444444444443,0.5,0.0
sample_0000020,RenaultScenic_71.wav,71.0,19.72222222222222,0.5,0.0
sample_0000021,RenaultScenic_72.wav,72.0,20.0,0.5,0.0
sample_0000022,RenaultScenic_74.wav,74.0,20.555555555555554,0.5,0.0
sample_0000023,RenaultScenic_75.wav,75.0,20.833333333333332,0.5,0.0
sample_0000024,RenaultScenic_77.wav,77.0,21.38888888888889,0.5,0.0
sample_0000025,RenaultScenic_80.wav,80.0,22.22222222222222,0.5,0.0
sample_0000026,RenaultScenic_82.wav,82.0,22.77777777777778,0.5,0.0
sample_0000027,RenaultScenic_84.wav,84.0,23.333333333333332,0.5,0.0
sample_0000028,RenaultScenic_86.wav,86.0,23.88888888888889,0.5,0.0
sample_0000029,RenaultScenic_87.wav,87.0,24.166666666666664,0.5,0.0
sample_0000030,RenaultScenic_90.wav,90.0,25.0,0.5,0.0
sample_0000031,RenaultScenic_91.wav,91.0,25.27777777777778,0.5,0.0
sample_0000032,RenaultScenic_94.wav,94.0,26.11111111111111,0.5,0.0
sample_0000033,RenaultScenic_95.wav,95.0,26.38888888888889,0.5,0.0
sample_0000034,RenaultScenic_98.wav,98.0,27.22222222222222,0.5,0.0
sample_0000035,RenaultScenic_101.wav,101.0,28.055555555555554,0.5,0.0
