sample_id,filename,speed_kmph,speed_mps,distance_m,angle_deg
sample_0000001,Peugeot3008_40.wav,40.0,11.11111111111111,0.5,0.0
sample_0000002,Peugeot3008_43.wav,43.0,11.944444444444445,0.5,0.0
sample_0000003,Peugeot3008_45.wav,45.0,12.5,0.5,0.0
sample_0000004,Peugeot3008_47.wav,47.0,13.055555555555555,0.5,0.0
sample_0000005,Peugeot3008_50.wav,50.0,13.88888888888889,0.5,0.0
sample_0000006,Peugeot3008_52.wav,52.0,14.444444444444445,0.5,0.0
sample_0000007,Peugeot3008_54.wav,54.0,15.0,0.5,0.0
sample_0000008,Peugeot3008_55.wav,55.0,15.277777777777777,0.5,0.0
sample_0000009,Peugeot3008_56.wav,56.0,15.555555555555555,0.5,0.0
sample_0000010,Peugeot3008_58.wav,58.0,16.11111111111111,0.5,0.0
sample_0000011,Peugeot3008_60.wav,60.0,16.666666666666668,0.5,0.0
sample_0000012,Peugeot3008_61.wav,61.0,16.944444444444443,0.5,0.0
sample_0000013,Peugeot3008_63.wav,63.0,17.5,0.5,0.0
sample_0000014,Peugeot3008_65.wav,65.0,18.055555555555554,0.5,0.0
sample_0000015,Peugeot3008_67.wav,67.0,18.61111111111111,0.5,0.0
sample_0000016,Peugeot3008_68.wav,68.0,18.88888888888889,0.5,0.0
sample_0000017,Peugeot3008_70.wav,70.0,19.444444444444443,0.5,0.0
sample_0000018,Peugeot3008_72.wav,72.0,20.0,0.5,0.0
sample_0000019,Peugeot3008_74.wav,74.0,20.555555555555554,0.5,0.0
sample_0000020,Peugeot3008_75.wav,75.0,20.833333333333332,0.5,0.0
sample_0000021,Peugeot3008_78.wav,78.0,21.666666666666668,0.5,0.0
sample_0000022,Peugeot3008_80.wav,80.0,22.22222222222222,0.5,0.0
sample_0000023,Peugeot3008_83.wav,83.0,23.055555555555554,0.5,0.0
sample_0000024,Peugeot3008_85.wav,85.0,23.61111111111111,0.5,0.0
sample_0000025,Peugeot3008_87.wav,87.0,24.166666666666664,0.5,0.0
sample_0000026,Peugeot3008_89.wav,89.0,24.72222222222222,0.5,0.0
sample_0000027,Peugeot3008_90.wav,90.0,25.0,0.5,0.0
sample_0000028,Peugeot3008_92.wav,92.0,25.555555555555554,0.5,0.0
sample_0000029,Peugeot3008_95.wav,95.0,26.38888888888889,0.5,0.0
sample_0000030,Peugeot3008_97.wav,97.0,26.944444444444443,0.5,0.0
sample_0000031,Peugeot3008_100.wav,100.0,27.77777777777778,0.5,0.0
